task_id,task_name,estimated_duration_minutes,deadline,priority_level,cognitive_load,prerequisites
SP1037_1,Ho Chi Minh Ideology (S1),172,2026-04-11 17:00,Medium,3,[]
CO3049_2,Web Programming (S2),145,2026-04-09 07:00,Low,7,[]
CO3119_3,Computer Networks Project (S3),235,2026-05-01 13:00,Low,7,[]
CO3045_4,Game Programming (S4),190,2026-04-08 10:00,Low,10,[]
IM1027_5,Engineering Economics (S5),76,2026-04-13 14:00,Low,4,[]
CO3033_6,Information System Security (S6),39,2026-04-30 00:00,Low,5,[]
CO3059_7,Computer Graphics (S7),236,2026-04-17 02:00,Low,7,[]
CO3111_8,Multidisciplinary Project (S8),109,2026-04-03 15:00,Low,3,[]
PE1021_9,Aerobic (S9),32,2026-04-07 04:00,High,7,[]
SP1037_10,Ho Chi Minh Ideology (S10),223,2026-04-01 13:00,Low,1,[]
CO2039_11,Advanced Programming (S11),212,2026-04-22 20:00,Low,10,[]
LA1003_12,English 1 (S12),215,2026-04-21 08:00,High,1,[]
CO4039_13,Biometric Security (S13),235,2026-04-13 07:00,Low,2,[]
CO1005_14,Introduction to Computing (S14),50,2026-05-01 05:00,Medium,6,[]
PE1011_15,Volleyball (S15),90,2026-04-10 01:00,Low,1,[]
PE1017_16,Badminton (S16),100,2026-04-23 19:00,Low,3,[]
CO4037_17,Management Information Systems (S17),54,2026-04-21 21:00,Medium,5,[]
PE1015_18,Basketball (S18),61,2026-04-18 03:00,Medium,2,[]
CO3061_19,Introduction to Artificial Intelligence (S19),154,2026-04-09 14:00,High,8,[]
CO4033_20,Big Data Analytics and Business Intelligence (S20),176,2026-05-01 16:00,Low,8,[]
CO3089_21,Selected Topics in High Performance Computing (S21),38,2026-04-14 12:00,High,7,[]
CO3069_22,Cryptography and Network Security (S22),57,2026-04-03 06:00,High,5,[]
CO3093_23,Computer Networks (S23),116,2026-04-10 21:00,Low,2,[]
CO3065_24,Advanced Software Engineering (S24),50,2026-04-02 17:00,High,1,[]
LA1009_25,English 4 (S25),78,2026-04-03 06:00,Medium,4,['English 3']
CO3137_26,Big Data (S26),86,2026-04-27 16:00,Low,1,[]
CO1023_27,Digital Systems (S27),216,2026-04-16 20:00,High,7,[]
PE1025_28,AThletics (S28),235,2026-04-23 10:00,Low,4,[]
SP1031_29,Marxist - Leninist Philosophy (S29),171,2026-05-01 05:00,Low,7,[]
CO3021_30,Database Management Systems (S30),57,2026-04-21 21:00,Medium,5,[]
IM1031_31,Entrepreneurship and Innovation (S31),134,2026-04-05 00:00,High,8,[]
CO3027_32,Electronic Commerce (S32),205,2026-04-04 04:00,Medium,6,[]
CO3127_33,Programming Intergration Project - Data Engineering (S33),177,2026-04-13 15:00,Low,10,[]
CO2001_34,Professional Skills for Engineers (S34),98,2026-04-25 16:00,Medium,2,['Introduction to Computing']
PE1013_35,Table tennis (S35),50,2026-04-06 14:00,High,8,[]
CO3059_36,Computer Graphics (S36),58,2026-04-25 16:00,Medium,1,[]
CO3085_37,Natural Language Processing (S37),61,2026-04-08 22:00,High,10,[]
CH1003_38,General Chemistry (S38),86,2026-04-28 08:00,High,9,[]
MT2013_39,Probability and Statistics (S39),128,2026-04-13 21:00,High,1,[]
CO3111_40,Multidisciplinary Project (S40),209,2026-04-25 13:00,Low,8,[]
CO1007_41,Discrete Structure for Computer Science (S41),61,2026-04-09 16:00,Medium,1,[]
CO3045_42,Game Programming (S42),147,2026-04-21 02:00,Low,8,[]
CO3027_43,Electronic Commerce (S43),135,2026-04-09 00:00,Medium,4,[]
SP1033_44,Marxist - Leninist Political Economy (S44),74,2026-04-25 06:00,Low,6,[]
CO3151_45,Network management (S45),117,2026-04-08 12:00,High,10,[]
IM1023_46,Production and Operations Management for Engineers (S46),80,2026-04-26 04:00,Low,10,[]
CO3151_47,Network management (S47),81,2026-04-08 14:00,Medium,8,[]
IM1013_48,Economics (S48),121,2026-04-07 15:00,Low,5,[]
PE1025_49,AThletics (S49),178,2026-04-08 19:00,High,6,[]
CO3103_50,Programming Intergration Project (S50),108,2026-04-04 08:00,High,4,[]
IM1023_51,Production and Operations Management for Engineers (S51),235,2026-04-04 14:00,Medium,1,[]
CO2013_52,Database Systems (S52),35,2026-04-26 01:00,Low,7,[]
CO3103_53,Programming Intergration Project (S53),87,2026-04-04 16:00,Medium,1,[]
CO3067_54,Parallel Computing (S54),179,2026-04-30 10:00,Medium,2,[]
CO3139_55,Digital transformation (S55),188,2026-04-25 19:00,Medium,9,[]
CO3067_56,Parallel Computing (S56),238,2026-04-28 04:00,Medium,8,[]
SP1035_57,Scientific Socialism (S57),53,2026-04-15 02:00,High,6,[]
CO3133_58,Deep Learning and Its Applications (S58),202,2026-04-27 19:00,Medium,2,[]
CO3021_59,Database Management Systems (S59),220,2026-04-16 09:00,High,4,[]
CO3041_60,Intelligent Systems (S60),62,2026-04-13 14:00,Low,9,['Software Engineering']
PE1061_61,Pickleball (S61),65,2026-04-30 00:00,High,4,[]
CO4029_62,Specialized Project (S62),209,2026-04-19 09:00,High,10,[]
CO4037_63,Management Information Systems (S63),240,2026-04-30 13:00,High,5,[]
CO4031_64,Data Warehouses and Decision Support Systems (S64),182,2026-04-25 17:00,Medium,1,[]
CO3085_65,Natural Language Processing (S65),161,2026-04-24 22:00,Medium,8,[]
CO1023_66,Digital Systems (S66),149,2026-04-24 21:00,Low,7,[]
CO3109_67,Multidisciplinary Project (S67),195,2026-04-15 22:00,Low,2,[]
SP1039_68,History of Vietnamese Communist Party (S68),74,2026-04-10 05:00,Medium,3,[]
CO3093_69,Computer Networks (S69),101,2026-04-24 16:00,High,1,[]
CO3111_70,Multidisciplinary Project (S70),137,2026-05-01 05:00,High,2,[]
SP1007_71,Introduction to Vietnamese Law (S71),215,2026-05-01 18:00,Low,1,[]
CO3103_72,Programming Intergration Project (S72),46,2026-04-19 23:00,Medium,4,[]
CO3029_73,Data Mining (S73),188,2026-04-28 01:00,High,1,[]
CO3089_74,Selected Topics in High Performance Computing (S74),99,2026-04-03 09:00,Medium,2,[]
CO2039_75,Advanced Programming (S75),42,2026-04-07 03:00,Medium,3,[]
CO3115_76,Systems Analysis and Design (S76),137,2026-04-27 08:00,Medium,1,[]
PE1013_77,Table tennis (S77),42,2026-05-01 11:00,Low,1,[]
PE1025_78,AThletics (S78),214,2026-04-05 18:00,Low,4,[]
CO3005_79,Principles of Programming Languages (S79),227,2026-04-22 09:00,Medium,2,['Fundamental Programming']
CO3059_80,Computer Graphics (S80),59,2026-04-03 15:00,Low,7,[]
CO3065_81,Advanced Software Engineering (S81),183,2026-04-20 17:00,High,3,[]
CO2003_82,Data Structures and Algorithms (S82),113,2026-04-06 11:00,Medium,1,[]
CO4037_83,Management Information Systems (S83),88,2026-04-11 23:00,High,4,[]
CO2001_84,Professional Skills for Engineers (S84),68,2026-04-03 02:00,Low,4,['Introduction to Computing']
CO3111_85,Multidisciplinary Project (S85),50,2026-04-27 20:00,Medium,8,[]
CO3027_86,Electronic Commerce (S86),104,2026-04-20 22:00,Medium,4,[]
ME1019_87,Productivity and Quality (S87),201,2026-04-14 13:00,Medium,8,[]
CO3029_88,Data Mining (S88),76,2026-04-29 13:00,High,3,[]
CO3033_89,Information System Security (S89),40,2026-04-19 14:00,Low,5,[]
CO3153_90,Computer Network Security Assessment (S90),209,2026-04-20 06:00,High,1,[]
CO4029_91,Specialized Project (S91),134,2026-04-17 18:00,Medium,6,[]
CO4029_92,Specialized Project (S92),35,2026-04-23 07:00,High,3,[]
PH1003_93,General Physics 1 (S93),216,2026-04-27 21:00,Low,4,[]
CO4037_94,Management Information Systems (S94),119,2026-04-26 06:00,Medium,6,[]
CO3133_95,Deep Learning and Its Applications (S95),182,2026-04-05 13:00,Medium,7,[]
CO3065_96,Advanced Software Engineering (S96),171,2026-04-06 23:00,Low,3,[]
CO3111_97,Multidisciplinary Project (S97),185,2026-04-24 23:00,Low,2,[]
CO2039_98,Advanced Programming (S98),142,2026-04-25 00:00,High,7,[]
CO3011_99,Software Project Management (S99),74,2026-04-26 02:00,Medium,6,[]
CO3043_100,Mobile Application Development (S100),191,2026-04-09 10:00,Low,8,[]
CO3135_101,Programming for Artificial Intelligence and Data Science (P4AI-DS) (S101),112,2026-04-23 11:00,High,1,[]
CO3057_102,Digital Image Processing and Computer Vision (S102),165,2026-04-12 13:00,High,10,[]
PE1027_103,Tennis (S103),47,2026-04-06 05:00,Medium,2,[]
CO3043_104,Mobile Application Development (S104),105,2026-04-16 11:00,High,4,[]
CO3127_105,Programming Intergration Project - Data Engineering (S105),99,2026-04-10 01:00,Low,3,[]
CO3085_106,Natural Language Processing (S106),194,2026-04-08 16:00,Medium,6,[]
PH1003_107,General Physics 1 (S107),205,2026-04-25 13:00,Medium,1,[]
CO3017_108,Software Architecture (S108),121,2026-04-17 17:00,High,10,[]
CO3131_109,Next-gen Software Engineering (S109),153,2026-04-22 01:00,Medium,10,[]
CO2007_110,Computer Architecture (S110),144,2026-05-01 07:00,High,8,[]
IM1031_111,Entrepreneurship and Innovation (S111),127,2026-04-28 04:00,Medium,2,[]
PE1013_112,Table tennis (S112),49,2026-04-15 12:00,Low,1,[]
IM1023_113,Production and Operations Management for Engineers (S113),34,2026-04-21 12:00,High,2,[]
CO3067_114,Parallel Computing (S114),135,2026-04-17 22:00,Medium,8,[]
SP1031_115,Marxist - Leninist Philosophy (S115),184,2026-04-06 18:00,Medium,5,[]
SP1007_116,Introduction to Vietnamese Law (S116),140,2026-04-01 07:00,Low,9,[]
SP1031_117,Marxist - Leninist Philosophy (S117),163,2026-04-03 11:00,High,9,[]
PE1017_118,Badminton (S118),54,2026-04-16 23:00,Low,2,[]
PE1009_119,Football (S119),79,2026-04-19 10:00,Medium,7,[]
CO3101_120,Programming Intergration Project (S120),113,2026-04-05 09:00,Low,2,[]
CO2013_121,Database Systems (S121),181,2026-04-12 05:00,High,4,[]
CO3127_122,Programming Intergration Project - Data Engineering (S122),63,2026-04-05 14:00,High,10,[]
PE1057_123,Bowling (S123),62,2026-04-01 01:00,High,5,[]
CO3061_124,Introduction to Artificial Intelligence (S124),107,2026-04-05 20:00,Low,2,[]
PH1003_125,General Physics 1 (S125),79,2026-04-27 20:00,Low,3,[]
PH1003_126,General Physics 1 (S126),236,2026-04-07 15:00,Medium,2,[]
LA1005_127,English 2 (S127),220,2026-04-19 09:00,High,7,['English 1']
LA1005_128,English 2 (S128),191,2026-04-12 23:00,Medium,1,['English 1']
SP1035_129,Scientific Socialism (S129),199,2026-04-26 07:00,Low,1,[]
CO4031_130,Data Warehouses and Decision Support Systems (S130),198,2026-04-28 04:00,Low,10,[]
CO3335_131,Internship (S131),116,2026-04-11 00:00,Low,9,[]
CO3093_132,Computer Networks (S132),137,2026-04-12 07:00,Medium,8,[]
CO3153_133,Computer Network Security Assessment (S133),96,2026-05-01 07:00,Medium,2,[]
CO3005_134,Principles of Programming Languages (S134),54,2026-04-25 07:00,Medium,3,['Fundamental Programming']
PE1015_135,Basketball (S135),166,2026-04-20 21:00,Low,2,[]
CO1005_136,Introduction to Computing (S136),182,2026-04-04 22:00,High,7,[]
MT1003_137,Calculus 1 (S137),79,2026-04-01 10:00,High,1,[]
CO4039_138,Biometric Security (S138),143,2026-04-05 06:00,High,9,[]
CO4037_139,Management Information Systems (S139),182,2026-04-07 03:00,High,2,[]
CO3139_140,Digital transformation (S140),57,2026-04-26 10:00,Medium,3,[]
PE1015_141,Basketball (S141),189,2026-04-15 14:00,High,2,[]
CO2017_142,Operating Systems (S142),149,2026-04-20 12:00,Medium,7,[]
CO3011_143,Software Project Management (S143),151,2026-05-01 18:00,High,6,[]
CO3057_144,Digital Image Processing and Computer Vision (S144),101,2026-04-25 04:00,Medium,9,[]
CO3335_145,Internship (S145),169,2026-04-12 08:00,Medium,8,[]
CO3045_146,Game Programming (S146),146,2026-04-17 04:00,Medium,8,[]
CO3119_147,Computer Networks Project (S147),93,2026-04-19 04:00,Low,8,[]
CO3115_148,Systems Analysis and Design (S148),114,2026-04-15 06:00,Medium,7,[]
IM3001_149,Business Administration for Engineers (S149),211,2026-04-24 17:00,Low,1,[]
CO3111_150,Multidisciplinary Project (S150),200,2026-04-02 19:00,High,1,[]
IM1023_151,Production and Operations Management for Engineers (S151),228,2026-04-24 12:00,Medium,5,[]
CO3065_152,Advanced Software Engineering (S152),148,2026-04-28 00:00,Medium,4,[]
CO2017_153,Operating Systems (S153),99,2026-04-08 14:00,High,6,[]
PE1021_154,Aerobic (S154),109,2026-04-05 10:00,High,1,[]
IM1013_155,Economics (S155),228,2026-05-01 06:00,Low,6,[]
CO3107_156,Multidisciplinary Project (S156),73,2026-04-28 16:00,High,7,[]
PE1011_157,Volleyball (S157),133,2026-04-03 12:00,Medium,5,[]
PE1009_158,Football (S158),40,2026-04-13 15:00,High,8,[]
LA1003_159,English 1 (S159),75,2026-05-01 19:00,Medium,5,[]
IM1027_160,Engineering Economics (S160),124,2026-04-03 11:00,High,1,[]
CO2007_161,Computer Architecture (S161),33,2026-04-12 02:00,Medium,5,[]
CO3105_162,Programming Intergration Project (S162),88,2026-04-09 17:00,Medium,2,[]
PE1027_163,Tennis (S163),227,2026-04-19 21:00,Medium,7,[]
LA1009_164,English 4 (S164),76,2026-04-03 13:00,High,9,['English 3']
ME1019_165,Productivity and Quality (S165),73,2026-04-16 10:00,High,3,[]
CO3089_166,Selected Topics in High Performance Computing (S166),226,2026-04-30 21:00,Low,6,[]
CO3151_167,Network management (S167),196,2026-04-11 15:00,Low,7,[]
CO2001_168,Professional Skills for Engineers (S168),194,2026-04-11 04:00,Medium,6,['Introduction to Computing']
PE1021_169,Aerobic (S169),231,2026-04-20 16:00,Low,10,[]
CO4039_170,Biometric Security (S170),149,2026-05-01 10:00,Medium,10,[]
IM1027_171,Engineering Economics (S171),238,2026-04-28 05:00,High,1,[]
CO3061_172,Introduction to Artificial Intelligence (S172),76,2026-04-04 17:00,Medium,10,[]
CO3151_173,Network management (S173),58,2026-04-17 04:00,Medium,2,[]
LA1007_174,English 3 (S174),166,2026-04-27 00:00,Medium,10,['English 2']
CO3045_175,Game Programming (S175),150,2026-04-26 18:00,Low,4,[]
CO3089_176,Selected Topics in High Performance Computing (S176),110,2026-04-06 03:00,Low,1,[]
IM1023_177,Production and Operations Management for Engineers (S177),240,2026-04-19 05:00,Low,1,[]
CO3129_178,Software Security (S178),145,2026-04-18 03:00,High,5,[]
CO3005_179,Principles of Programming Languages (S179),56,2026-04-06 05:00,High,7,['Fundamental Programming']
CO3051_180,Mobile Systems (S180),174,2026-04-30 11:00,Medium,6,[]
CO4031_181,Data Warehouses and Decision Support Systems (S181),143,2026-04-24 09:00,Medium,6,[]
PE1017_182,Badminton (S182),92,2026-04-12 13:00,Low,1,[]
SP1007_183,Introduction to Vietnamese Law (S183),121,2026-04-06 08:00,High,3,[]
LA1007_184,English 3 (S184),206,2026-04-01 15:00,Medium,2,['English 2']
PE1021_185,Aerobic (S185),173,2026-04-24 05:00,High,1,[]
CO3049_186,Web Programming (S186),92,2026-04-17 20:00,Low,3,[]
CO3131_187,Next-gen Software Engineering (S187),41,2026-04-18 16:00,Low,4,[]
CO2039_188,Advanced Programming (S188),239,2026-04-02 03:00,Medium,6,[]
CO2039_189,Advanced Programming (S189),213,2026-04-22 20:00,Medium,5,[]
CO3067_190,Parallel Computing (S190),43,2026-04-14 23:00,High,3,[]
CO1007_191,Discrete Structure for Computer Science (S191),190,2026-04-26 05:00,High,5,[]
SP1035_192,Scientific Socialism (S192),209,2026-04-15 23:00,Low,8,[]
PE1009_193,Football (S193),82,2026-04-01 16:00,Medium,9,[]
CO2011_194,Mathematical Modeling (S194),57,2026-04-30 13:00,Medium,5,[]
CO4029_195,Specialized Project (S195),52,2026-04-26 23:00,Medium,5,[]
IM1027_196,Engineering Economics (S196),168,2026-04-11 17:00,Low,5,[]
CO3151_197,Network management (S197),43,2026-04-20 22:00,Medium,10,[]
PE1013_198,Table tennis (S198),227,2026-04-23 20:00,Medium,1,[]
CO4035_199,Enterprise Resource Planning Systems (S199),87,2026-04-26 09:00,Medium,7,[]
