task_id,task_name,estimated_duration_minutes,deadline,priority_level,cognitive_load,prerequisites
TASK_0001,Data Structure and Algorithm 2,240,2026-04-17 08:16:44,High,6.3,[]
TASK_0002,Fundametal Programming 3,30,2026-03-25 06:17:33,Low,7.8,[]
TASK_0003,Introduction to Artificial Intelligence 2,150,2026-04-19 10:36:35,High,2.5,[]
TASK_0004,Database 5,30,2026-04-22 16:19:32,Low,5.6,[]
TASK_0005,Mobile App Development 5,60,2026-04-05 20:23:13,Medium,2.9,['TASK_0002']
TASK_0006,Digital System 5,150,2026-04-10 05:31:11,Low,9.5,[]
TASK_0007,Introduction to Artificial Intelligence 4,150,2026-04-13 19:21:28,Low,1.1,[]
TASK_0008,Philosophy Reading 3,150,2026-03-26 03:27:13,Medium,9.5,[]
TASK_0009,Data Structure and Algorithm 4,30,2026-03-26 20:55:12,High,8.4,[]
TASK_0010,Calculus I 4,120,2026-04-14 02:55:03,Low,2.1,"['TASK_0001', 'TASK_0009']"
TASK_0011,Data Structure and Algorithm 1,240,2026-04-20 02:18:31,High,1.1,[]
TASK_0012,Introduction to Artificial Intelligence 3,150,2026-03-30 22:46:59,Low,5.0,"['TASK_0006', 'TASK_0009', 'TASK_0007']"
TASK_0013,Computer Architecture Lab 2,240,2026-04-22 07:41:59,Medium,5.4,[]
TASK_0014,Introduction to Artificial Intelligence 4,180,2026-04-03 14:15:14,Low,4.2,"['TASK_0006', 'TASK_0004']"
TASK_0015,Computer Architecture Lab 1,90,2026-04-15 02:24:24,High,2.1,[]
TASK_0016,Computer Architecture Lab 4,45,2026-03-31 03:10:14,High,7.8,[]
TASK_0017,Physics Experiment 4,240,2026-04-22 12:29:33,High,5.8,[]
TASK_0018,Data Structure and Algorithm 4,180,2026-03-26 17:32:28,High,6.0,"['TASK_0005', 'TASK_0003', 'TASK_0001']"
TASK_0019,Digital System 2,90,2026-04-22 21:39:17,High,8.9,['TASK_0017']
TASK_0020,Data Structure and Algorithm 5,150,2026-04-09 16:17:50,Medium,1.9,[]
TASK_0021,Calculus I 4,60,2026-04-10 09:16:59,Low,8.7,[]
TASK_0022,Physics Experiment 1,45,2026-04-05 04:48:38,Low,6.2,[]
TASK_0023,Digital System 4,90,2026-03-27 14:30:34,High,3.3,[]
TASK_0024,Physics Experiment 3,30,2026-04-16 22:45:58,Medium,9.4,"['TASK_0018', 'TASK_0013', 'TASK_0015']"
TASK_0025,Physics Experiment 2,90,2026-04-10 13:10:10,Medium,1.8,[]
TASK_0026,Digital System 1,60,2026-04-19 06:48:56,Medium,5.7,[]
TASK_0027,Digital System 2,240,2026-03-26 09:49:00,Medium,2.8,[]
TASK_0028,Database 3,60,2026-03-29 12:56:36,Low,1.2,[]
TASK_0029,Introduction to Artificial Intelligence 2,90,2026-04-15 14:26:38,Medium,9.8,[]
TASK_0030,Digital System 3,45,2026-03-27 18:52:13,Medium,2.3,[]
TASK_0031,Calculus I 1,60,2026-04-04 22:27:56,Low,1.9,"['TASK_0023', 'TASK_0027', 'TASK_0028']"
TASK_0032,Mobile App Development 3,150,2026-04-18 07:52:59,High,5.5,"['TASK_0007', 'TASK_0016', 'TASK_0028']"
TASK_0033,Data Structure and Algorithm 3,240,2026-04-05 17:20:46,Medium,5.0,[]
TASK_0034,Introduction to Artificial Intelligence 3,45,2026-04-01 09:04:53,Medium,1.2,[]
TASK_0035,Fundametal Programming 1,150,2026-04-19 06:52:09,Medium,2.9,"['TASK_0007', 'TASK_0033', 'TASK_0026']"
TASK_0036,Data Structure and Algorithm 4,240,2026-04-01 06:04:35,Medium,8.5,['TASK_0035']
TASK_0037,Calculus I 1,45,2026-04-12 08:58:52,Medium,1.2,[]
TASK_0038,Physics Experiment 4,180,2026-04-03 22:35:14,Medium,6.3,[]
TASK_0039,Computer Architecture Lab 2,30,2026-04-13 04:00:56,High,5.2,[]
TASK_0040,Data Structure and Algorithm 1,60,2026-04-11 17:29:37,Low,4.1,[]
TASK_0041,Fundametal Programming 1,30,2026-04-23 16:24:38,Low,7.3,[]
TASK_0042,Data Structure and Algorithm 3,180,2026-04-03 10:14:32,High,8.7,[]
TASK_0043,Introduction to Artificial Intelligence 2,45,2026-04-05 02:34:49,Low,3.1,[]
TASK_0044,Mobile App Development 5,150,2026-04-22 07:50:59,Medium,2.2,[]
TASK_0045,Digital System 3,150,2026-04-15 21:20:56,Low,1.9,[]
TASK_0046,Philosophy Reading 5,120,2026-04-09 20:50:11,Medium,7.8,[]
TASK_0047,Fundametal Programming 5,45,2026-04-18 06:33:13,Low,7.9,"['TASK_0014', 'TASK_0017']"
TASK_0048,Calculus I 5,120,2026-04-05 20:52:06,Medium,5.8,['TASK_0014']
TASK_0049,Introduction to Artificial Intelligence 2,180,2026-03-27 09:36:48,Low,3.6,"['TASK_0026', 'TASK_0046']"
TASK_0050,Fundametal Programming 3,90,2026-04-05 21:08:35,High,1.6,[]
TASK_0051,Fundametal Programming 3,30,2026-04-19 11:30:14,Low,4.2,['TASK_0039']
TASK_0052,Mobile App Development 4,240,2026-04-13 10:19:08,Medium,9.1,['TASK_0046']
TASK_0053,Physics Experiment 4,120,2026-04-05 03:16:44,Low,6.4,[]
TASK_0054,Calculus I 4,90,2026-03-29 13:00:43,Medium,3.3,[]
TASK_0055,Database 5,60,2026-04-15 18:54:47,Medium,6.5,"['TASK_0018', 'TASK_0019']"
TASK_0056,Mobile App Development 4,180,2026-04-21 15:16:51,Medium,1.2,['TASK_0033']
TASK_0057,Data Structure and Algorithm 5,240,2026-04-22 00:44:58,Low,6.1,[]
TASK_0058,Digital System 4,90,2026-04-11 20:46:05,Medium,2.7,[]
TASK_0059,Fundametal Programming 2,90,2026-03-31 01:45:21,Low,5.9,[]
TASK_0060,Physics Experiment 3,120,2026-04-01 14:26:12,Low,2.9,[]
TASK_0061,Philosophy Reading 1,30,2026-04-21 22:02:23,Low,1.4,[]
TASK_0062,Digital System 5,45,2026-04-04 08:15:57,Low,3.5,"['TASK_0002', 'TASK_0045']"
TASK_0063,Fundametal Programming 5,240,2026-04-06 21:40:24,High,2.4,"['TASK_0054', 'TASK_0005', 'TASK_0061']"
TASK_0064,Data Structure and Algorithm 2,60,2026-04-04 07:34:56,Low,9.4,[]
TASK_0065,Physics Experiment 1,90,2026-04-17 13:22:57,High,4.2,[]
TASK_0066,Database 1,120,2026-04-11 00:52:06,Medium,8.2,[]
TASK_0067,Physics Experiment 1,90,2026-04-11 07:39:43,High,1.3,[]
TASK_0068,Digital System 4,150,2026-03-30 02:02:57,Low,5.2,"['TASK_0041', 'TASK_0019', 'TASK_0040']"
TASK_0069,Fundametal Programming 4,45,2026-03-25 06:45:36,High,9.4,[]
TASK_0070,Mobile App Development 2,60,2026-04-23 14:56:00,High,5.0,[]
TASK_0071,Database 1,240,2026-04-18 13:41:22,Medium,2.2,[]
TASK_0072,Fundametal Programming 1,240,2026-04-18 19:43:32,Low,8.2,[]
TASK_0073,Data Structure and Algorithm 5,180,2026-03-27 07:22:53,Medium,5.5,[]
TASK_0074,Data Structure and Algorithm 3,120,2026-03-30 07:23:26,Low,3.3,[]
TASK_0075,Calculus I 4,60,2026-04-02 06:42:07,High,1.5,"['TASK_0028', 'TASK_0008', 'TASK_0048']"
TASK_0076,Fundametal Programming 4,180,2026-04-14 04:52:49,High,6.0,[]
TASK_0077,Mobile App Development 2,90,2026-04-20 13:45:08,High,4.5,[]
TASK_0078,Philosophy Reading 5,90,2026-04-20 00:11:03,High,2.5,[]
TASK_0079,Computer Architecture Lab 2,45,2026-03-25 18:14:52,Medium,3.6,[]
TASK_0080,Fundametal Programming 5,120,2026-04-03 06:43:23,Low,4.6,[]
TASK_0081,Calculus I 1,30,2026-04-07 00:19:59,High,6.1,['TASK_0068']
TASK_0082,Philosophy Reading 2,60,2026-04-16 10:39:37,Medium,3.4,[]
TASK_0083,Computer Architecture Lab 3,120,2026-04-18 00:00:54,Low,6.9,[]
TASK_0084,Digital System 5,150,2026-04-20 11:19:10,Low,7.2,[]
TASK_0085,Mobile App Development 1,180,2026-04-15 00:47:10,Medium,5.2,[]
TASK_0086,Philosophy Reading 1,60,2026-04-13 09:33:41,High,4.8,"['TASK_0026', 'TASK_0043', 'TASK_0060']"
TASK_0087,Introduction to Artificial Intelligence 4,60,2026-03-25 23:47:19,High,2.1,[]
TASK_0088,Database 5,180,2026-03-25 09:09:33,Medium,9.0,[]
TASK_0089,Mobile App Development 4,120,2026-04-18 07:58:14,High,3.3,['TASK_0059']
TASK_0090,Physics Experiment 4,240,2026-04-04 08:29:33,Low,6.3,['TASK_0057']
TASK_0091,Mobile App Development 1,30,2026-04-09 08:03:37,High,2.0,"['TASK_0082', 'TASK_0042', 'TASK_0001']"
TASK_0092,Data Structure and Algorithm 1,180,2026-04-07 11:10:24,High,1.8,[]
TASK_0093,Data Structure and Algorithm 4,240,2026-03-30 01:39:11,Medium,4.1,[]
TASK_0094,Calculus I 1,150,2026-04-08 17:42:44,High,8.0,"['TASK_0062', 'TASK_0024', 'TASK_0073']"
TASK_0095,Calculus I 3,45,2026-04-21 11:07:26,High,8.2,[]
TASK_0096,Calculus I 3,150,2026-04-19 01:19:56,Low,6.1,"['TASK_0013', 'TASK_0041', 'TASK_0039']"
TASK_0097,Digital System 3,120,2026-04-03 18:12:18,Low,3.9,[]
TASK_0098,Introduction to Artificial Intelligence 3,240,2026-04-18 14:59:53,High,1.2,[]
TASK_0099,Database 3,240,2026-04-02 20:09:56,High,8.5,[]
TASK_0100,Fundametal Programming 4,180,2026-04-07 18:37:34,High,5.9,[]
TASK_0101,Mobile App Development 1,240,2026-04-10 20:22:55,High,2.1,[]
